Run Number,Total Time (secs),Slowest Time (secs),Fastest Time (secs),Average Time (secs),Requests/sec,Total Data (bytes),Size/Request (bytes),10% Latency (secs),25% Latency (secs),50% Latency (secs),75% Latency (secs),90% Latency (secs),95% Latency (secs),99% Latency (secs),Status 200 Responses
1,5.0608,0.2168,0.0009,0.0255,3910.8426,257296,13,0.0019,0.0177,0.0248,0.0317,0.0395,0.0580,0.0738,19792
2,5.0426,0.1244,0.0010,0.0210,4767.3662,312520,13,0.0019,0.0164,0.0180,0.0277,0.0363,0.0436,0.0604,24040
