Run Number,Total Time (secs),Slowest Time (secs),Fastest Time (secs),Average Time (secs),Requests/sec,Total Data (bytes),Size/Request (bytes),10% Latency (secs),25% Latency (secs),50% Latency (secs),75% Latency (secs),90% Latency (secs),95% Latency (secs),99% Latency (secs),Status 200 Responses
1,5.1000,0.1791,0.0015,0.0224,4457.8194,295555,13,0.0050,0.0063,0.0089,0.0180,0.0701,0.0760,0.0931,22735
2,5.0717,0.2855,0.0021,0.0227,4392.6394,289614,13,0.0050,0.0064,0.0088,0.0165,0.0699,0.0743,0.0978,22278
3,5.0425,0.2073,0.0023,0.0299,3324.9526,217958,13,0.0062,0.0079,0.0110,0.0698,0.0777,0.0836,0.1028,16766
4,5.0759,0.1870,0.0030,0.0345,2872.6116,189553,13,0.0071,0.0092,0.0144,0.0715,0.0823,0.0894,0.1025,14581
