Run Number,Total Time (secs),Slowest Time (secs),Fastest Time (secs),Average Time (secs),Requests/sec,Total Data (bytes),Size/Request (bytes),10% Latency (secs),25% Latency (secs),50% Latency (secs),75% Latency (secs),90% Latency (secs),95% Latency (secs),99% Latency (secs),Status 200 Responses
1,5.0625,0.1038,0.0010,0.0199,5029.1603,330980,13,0.0020,0.0117,0.0129,0.0233,0.0474,0.0553,0.0700,25460
2,5.0456,0.1311,0.0011,0.0209,4779.0158,313469,13,0.0020,0.0122,0.0139,0.0258,0.0482,0.0559,0.0701,24113
3,5.0452,0.1573,0.0011,0.0206,4852.1352,318240,13,0.0020,0.0126,0.0143,0.0257,0.0472,0.0552,0.0684,24480
