Run Number,Total Time (secs),Slowest Time (secs),Fastest Time (secs),Average Time (secs),Requests/sec,Total Data (bytes),Size/Request (bytes),10% Latency (secs),25% Latency (secs),50% Latency (secs),75% Latency (secs),90% Latency (secs),95% Latency (secs),99% Latency (secs),Status 200 Responses
1,5.0665,0.1613,0.0011,0.0195,5119.9405,337220,13,0.0023,0.0084,0.0100,0.0186,0.0585,0.0643,0.0793,25940
2,5.0463,0.1760,0.0013,0.0200,4990.4068,327379,13,0.0024,0.0084,0.0106,0.0193,0.0581,0.0648,0.0802,25183
3,5.0453,0.1761,0.0011,0.0216,4623.5116,303251,13,0.0026,0.0092,0.0117,0.0233,0.0601,0.0659,0.0828,23327
