Run Number,Total Time (secs),Slowest Time (secs),Fastest Time (secs),Average Time (secs),Requests/sec,Total Data (bytes),Size/Request (bytes),10% Latency (secs),25% Latency (secs),50% Latency (secs),75% Latency (secs),90% Latency (secs),95% Latency (secs),99% Latency (secs),Status 200 Responses
1,5.0477,0.1664,0.0011,0.0207,4817.2293,316108,13,0.0023,0.0101,0.0122,0.0228,0.0537,0.0618,0.0806,24316
2,5.0451,0.1437,0.0011,0.0193,5182.6857,339911,13,0.0022,0.0097,0.0115,0.0197,0.0530,0.0585,0.0704,26147
3,5.0447,0.1104,0.0010,0.0184,5416.9803,355251,13,0.0021,0.0096,0.0110,0.0190,0.0518,0.0579,0.0690,27327
4,5.0432,0.1527,0.0011,0.0205,4886.1852,320346,13,0.0024,0.0106,0.0126,0.0223,0.0520,0.0594,0.0769,24642
